gene,count,RPKM
AIM36,1263,47.23615304015956
AIM37,2211,90.08075470150084
AIM39,2724,65.8602011917213
AIM4,475,36.67609257070597
AIM41,4547,234.05781462315792
AIM43,939,49.12761017616013
AIM44,1593,20.094866979201694
AIM45,6261,173.75437334897674
AIM46,5074,156.20725821131492
AIM5,2434,217.79501338554238
AIM6,2568,62.882441833221385
AIM7,2711,173.04115063773753
AIM9,4097,62.462225801242404
AIP1,6922,107.58755018465109
AIR1,1626,43.12453995320612
AIR2,1572,43.62591836840624
AKL1,4675,40.36093372547719
AKR1,5913,74.00440642848974
AKR2,2406,30.71464466502372
ALA1,9950,99.33804514293841
ALB1,3292,179.08462196295145
ALD2,1649,31.140374564466615
ALD3,873,16.486080651776444
ALD4,12289,226.26862428572588
ALD5,8667,159.27301785828172
ALD6,31214,596.5170149564029
ALE1,6815,105.24108247130995
ALF1,841,31.576715274662547
ALG1,2068,43.999643368848055
ALG11,2376,41.43670634666542
ALG12,1586,27.50902772435285
ALG13,807,38.06173950080793
ALG14,794,31.941453959676483
ALG2,1364,25.911644081198514
ALG3,719,14.997792497345998
ALG5,1196,34.18200303287338
ALG6,2479,43.5503009246344
ALG7,990,21.110571440533885
ALG8,2453,40.633183133916496
ALG9,3316,57.10194035438531
ALK1,4279,53.83550180135916
ALK2,1077,15.231342021713878
ALO1,3214,58.391064531145
ALP1,464,7.739576974686002
ALR1,4606,51.278654137584546
ALR2,1619,18.04532967373236
ALT1,7364,118.8968153568622
ALT2,1348,25.406059781925585
ALY1,2194,22.932546633914
ALY2,1749,15.993895847513048
AMA1,812,12.439048113715343
AMD1,3775,44.56636753156587
AMD2,1727,30.063586112273843
AME1,941,27.721542902155498
AMN1,3940,68.58745181375734
AMS1,8838,78.06131280121872
ANB1,19221,1164.7427813110044
ANP1,3409,65.14789850664373
ANR2,1925,35.649326261335695
ANS1,1965,117.58548310234494
ANT1,943,27.442705848522092
AOS1,1775,48.83489397950625
APA1,5660,168.29518672653987
APA2,3978,116.83105931247835
APC1,1103,6.041506121980725
APC11,1135,65.46345299177118
APC2,1784,20.000834448715125
APC4,742,10.879322721836107
APC5,1732,24.173242440464566
APC9,1115,40.13325333459285
APD1,4717,142.4681384914261
APE1,7977,148.30080169291227
APE2,8774,77.735072873872
APE3,25101,446.70404364133833
APE4,3733,72.79266734800825
API2,23,2.00191800979241
APJ1,4270,77.28288725236253
APL1,3043,41.56186909494593
APL2,3013,39.68038311019068
APL3,1709,15.947985704757823
APL4,3899,44.814584018991944
APL5,3531,36.2349118870157
APL6,2395,28.309463214160512
APM1,2370,47.67080975090256
APM2,1054,16.6524877353517
APM3,1322,26.151537637802033
APM4,3507,68.24672239639607
APN1,2256,58.69517643077557
APN2,1819,33.4276704147011
APP1,3993,65.01792719913637
APQ12,1059,72.9444569786418
APQ13,31,2.1352957189215256
APS1,55,3.3540858375087454
APS2,1955,126.47252291593941
APS3,1146,49.723194072198446
APT1,3721,189.50163288347161
APT2,2833,149.03433095833938
AQR1,11252,183.5281800666811
AQY1,1423,44.52404462529211
AQY2,133,8.489292893699407
ARA1,7112,197.37120320362925
ARA2,1549,44.139079928639845
ARB1,9720,152.31272582865185
ARC1,8897,225.9505361138897
ARC15,3663,226.26446667199318
ARC18,4638,248.07834108231518
ARC19,4579,254.8903140425528
ARC35,8446,235.7588979817133
ARC40,5729,142.4719040757853
ARD1,1242,49.75478233542642
ARE1,5296,82.9884975296852
ARE2,708,10.542252660939406
ARF1,15175,798.3042613105542
ARF2,18252,960.1745882991918
ARF3,1057,55.000710538412925
ARG1,11343,257.96273452011604
ARG2,1372,22.845328244829528
ARG3,2544,71.85029317177221
ARG4,12766,263.4195450179057
"ARG5,6",6868,76.10753915247432
ARG7,5509,119.33329674937069
ARG8,1978,44.66543484112311
ARG80,2030,109.19108245887766
ARG81,1856,20.17033908499326
ARG82,1718,46.204502380382216
ARH1,1870,36.24313805793863
ARI1,706,19.42390712649657
ARK1,1528,22.894630134442963
ARL1,2062,107.2956150711518
ARL3,1183,56.9171052248823
ARN1,2107,32.12299481650421
ARN2,1647,25.3929486686334
ARO1,11035,66.49049651644503
ARO10,3931,59.17756129438993
ARO2,8685,220.5665287343073
ARO3,10847,279.9283384207207
ARO4,13558,349.8910677890782
ARO7,1138,42.39555007034577
ARO8,7926,151.47029731993496
ARO80,1436,14.457228950158143
ARO9,983,18.310556115619463
ARP1,782,19.447203523697695
