"gene","Sample","Value","Strain","Replicate","Condition"
"ACE2","JCYL001D",23.4181892800109,"JCYL","001","D"
"ACE2","JCYL002D",22.3899170406659,"JCYL","002","D"
"ACE2","JCYL003D",23.5790275662219,"JCYL","003","D"
"ACF2","JCYL001B",19.487321017724,"JCYL","001","B"
"ACF2","JCYL002B",19.9824301394805,"JCYL","002","B"
"ACF2","JCYL003B",20.9749691214064,"JCYL","003","B"
"ACF2","JCYL001D",17.2889045457373,"JCYL","001","D"
"ACF2","JCYL002D",19.9589216962916,"JCYL","002","D"
"ACF2","JCYL003D",17.7450732370094,"JCYL","003","D"
"ACF4","JCYL001B",40.0466725071589,"JCYL","001","B"
"ACF4","JCYL002B",40.2488167223339,"JCYL","002","B"
"ACF4","JCYL003B",41.5678912946201,"JCYL","003","B"
"ACF4","JCYL001D",32.4639051062094,"JCYL","001","D"
"ACF4","JCYL002D",36.3209135689686,"JCYL","002","D"
"ACF4","JCYL003D",33.1534697622604,"JCYL","003","D"
"ACH1","JCYL001B",69.0729467231533,"JCYL","001","B"
"ACH1","JCYL002B",65.6038658641698,"JCYL","002","B"
"ACH1","JCYL003B",66.9561639410007,"JCYL","003","B"
"ACH1","JCYL001D",172.995533947037,"JCYL","001","D"
"ACH1","JCYL002D",176.081579787137,"JCYL","002","D"
"ACH1","JCYL003D",187.219593951588,"JCYL","003","D"
"ACK1","JCYL001B",30.2300368763456,"JCYL","001","B"
"ACK1","JCYL002B",31.4398884597151,"JCYL","002","B"
"ACK1","JCYL003B",29.5103797288994,"JCYL","003","B"
"ACK1","JCYL001D",30.5439029832003,"JCYL","001","D"
"ACK1","JCYL002D",30.1654674468859,"JCYL","002","D"
"ACK1","JCYL003D",28.9516166898595,"JCYL","003","D"
"ACM1","JCYL001B",45.6809446131445,"JCYL","001","B"
"ACM1","JCYL002B",43.144253987239,"JCYL","002","B"
"ACM1","JCYL003B",45.8877748655878,"JCYL","003","B"
"ACM1","JCYL001D",45.8575946829588,"JCYL","001","D"
"ACM1","JCYL002D",42.8567954891377,"JCYL","002","D"
"ACM1","JCYL003D",45.4485756338927,"JCYL","003","D"
"ACN9","JCYL001B",47.3921418359957,"JCYL","001","B"
"ACN9","JCYL002B",42.1153245575885,"JCYL","002","B"
"ACN9","JCYL003B",46.7477030946575,"JCYL","003","B"
"ACN9","JCYL001D",89.3085119209903,"JCYL","001","D"
"ACN9","JCYL002D",77.5954333062301,"JCYL","002","D"
"ACN9","JCYL003D",82.7108576240958,"JCYL","003","D"
"ACO1","JCYL001B",229.192345383425,"JCYL","001","B"
"ACO1","JCYL002B",227.572438967749,"JCYL","002","B"
"ACO1","JCYL003B",221.746425222072,"JCYL","003","B"
"ACO1","JCYL001D",452.253730875852,"JCYL","001","D"
"ACO1","JCYL002D",430.761537355164,"JCYL","002","D"
"ACO1","JCYL003D",441.849365692673,"JCYL","003","D"
"ACO2","JCYL001B",64.8308863981038,"JCYL","001","B"
"ACO2","JCYL002B",67.3569844378098,"JCYL","002","B"
"ACO2","JCYL003B",64.2627189843489,"JCYL","003","B"
"ACO2","JCYL001D",37.5053261947629,"JCYL","001","D"
"ACO2","JCYL002D",36.3826838301403,"JCYL","002","D"
"ACO2","JCYL003D",40.3362646232909,"JCYL","003","D"
"ACP1","JCYL001B",374.134471675972,"JCYL","001","B"
"ACP1","JCYL002B",353.494997294909,"JCYL","002","B"
"ACP1","JCYL003B",366.664245612093,"JCYL","003","B"
"ACP1","JCYL001D",523.403822549034,"JCYL","001","D"
"ACP1","JCYL002D",500.299896277452,"JCYL","002","D"
"ACP1","JCYL003D",512.936034886845,"JCYL","003","D"
"ACS1","JCYL001B",17.4248454077162,"JCYL","001","B"
"ACS1","JCYL002B",16.284273964589,"JCYL","002","B"
"ACS1","JCYL003B",16.7882103166784,"JCYL","003","B"
"ACS1","JCYL001D",54.4113196000275,"JCYL","001","D"
"ACS1","JCYL002D",46.4505442973633,"JCYL","002","D"
"ACS1","JCYL003D",51.125307578997,"JCYL","003","D"
"ACS2","JCYL001B",124.599870426003,"JCYL","001","B"
"ACS2","JCYL002B",128.944723154326,"JCYL","002","B"
"ACS2","JCYL003B",133.294035992606,"JCYL","003","B"
"ACS2","JCYL001D",114.875478888976,"JCYL","001","D"
"ACS2","JCYL002D",120.393761012249,"JCYL","002","D"
"ACS2","JCYL003D",122.591552696684,"JCYL","003","D"
"ACT1","JCYL001B",782.273788098688,"JCYL","001","B"
"ACT1","JCYL002B",778.507633276092,"JCYL","002","B"
"ACT1","JCYL003B",792.530920464739,"JCYL","003","B"
"ACT1","JCYL001D",742.980849184342,"JCYL","001","D"
"ACT1","JCYL002D",756.71664896245,"JCYL","002","D"
"ACT1","JCYL003D",761.12778780313,"JCYL","003","D"
"ADA2","JCYL001B",18.8200961804886,"JCYL","001","B"
"ADA2","JCYL002B",20.3443152603227,"JCYL","002","B"
"ADA2","JCYL003B",20.4848047522249,"JCYL","003","B"
"ADA2","JCYL001D",15.1957437501669,"JCYL","001","D"
"ADA2","JCYL002D",15.6711862595644,"JCYL","002","D"
"ADA2","JCYL003D",14.555891778253,"JCYL","003","D"
"ADD37","JCYL001B",131.475060808942,"JCYL","001","B"
"ADD37","JCYL002B",133.820598912552,"JCYL","002","B"
"ADD37","JCYL003B",141.935019972512,"JCYL","003","B"
"ADD37","JCYL001D",130.364945970264,"JCYL","001","D"
"ADD37","JCYL002D",115.181360869288,"JCYL","002","D"
"ADD37","JCYL003D",135.577523476162,"JCYL","003","D"
"ADD66","JCYL001B",69.9852926689527,"JCYL","001","B"
"ADD66","JCYL002B",66.5869263449965,"JCYL","002","B"
"ADD66","JCYL003B",67.6430875121716,"JCYL","003","B"
"ADD66","JCYL001D",47.2915542991015,"JCYL","001","D"
"ADD66","JCYL002D",46.1214108647989,"JCYL","002","D"
"ADD66","JCYL003D",47.9460889489167,"JCYL","003","D"
"ADE1","JCYL001B",353.32198969482,"JCYL","001","B"
"ADE1","JCYL002B",368.522030787071,"JCYL","002","B"
"ADE1","JCYL003B",306.400887057124,"JCYL","003","B"
"ADE1","JCYL001D",275.277873698656,"JCYL","001","D"
"ADE1","JCYL002D",278.468184398528,"JCYL","002","D"
"ADE1","JCYL003D",277.408577214573,"JCYL","003","D"
"ADE12","JCYL001B",363.895552281089,"JCYL","001","B"
"ADE12","JCYL002B",385.660303737873,"JCYL","002","B"
"ADE12","JCYL003B",365.902928921715,"JCYL","003","B"
"ADE12","JCYL001D",199.05470489248,"JCYL","001","D"
"ADE12","JCYL002D",208.673178722591,"JCYL","002","D"
"ADE12","JCYL003D",205.918033297256,"JCYL","003","D"
"ADE13","JCYL001B",351.995294808629,"JCYL","001","B"
"ADE13","JCYL002B",376.558797573668,"JCYL","002","B"
"ADE13","JCYL003B",317.06127259703,"JCYL","003","B"
"ADE13","JCYL001D",302.297281699064,"JCYL","001","D"
"ADE13","JCYL002D",309.175503813173,"JCYL","002","D"
"ADE13","JCYL003D",308.871531093691,"JCYL","003","D"
"ADE16","JCYL001B",208.100063662291,"JCYL","001","B"
"ADE16","JCYL002B",204.334200510174,"JCYL","002","B"
"ADE16","JCYL003B",206.743061800823,"JCYL","003","B"
"ADE16","JCYL001D",189.126528124357,"JCYL","001","D"
"ADE16","JCYL002D",192.975721666623,"JCYL","002","D"
"ADE16","JCYL003D",188.717672779555,"JCYL","003","D"
"ADE17","JCYL001B",492.864207494926,"JCYL","001","B"
"ADE17","JCYL002B",504.348641951654,"JCYL","002","B"
"ADE17","JCYL003B",425.78219862621,"JCYL","003","B"
"ADE17","JCYL001D",223.535191574747,"JCYL","001","D"
"ADE17","JCYL002D",227.13747941884,"JCYL","002","D"
"ADE17","JCYL003D",222.592115600765,"JCYL","003","D"
"ADE2","JCYL001B",195.56743359165,"JCYL","001","B"
"ADE2","JCYL002B",202.773302300868,"JCYL","002","B"
"ADE2","JCYL003B",180.635324047363,"JCYL","003","B"
"ADE2","JCYL001D",130.109093227139,"JCYL","001","D"
"ADE2","JCYL002D",135.11272721609,"JCYL","002","D"
"ADE2","JCYL003D",128.356832329033,"JCYL","003","D"
"ADE3","JCYL001B",524.086618426473,"JCYL","001","B"
"ADE3","JCYL002B",538.636586216795,"JCYL","002","B"
"ADE3","JCYL003B",528.620901607282,"JCYL","003","B"
"ADE3","JCYL001D",198.495878430541,"JCYL","001","D"
"ADE3","JCYL002D",185.28012668014,"JCYL","002","D"
"ADE3","JCYL003D",203.017744617847,"JCYL","003","D"
"ADE4","JCYL001B",194.110272301892,"JCYL","001","B"
"ADE4","JCYL002B",204.986306450076,"JCYL","002","B"
"ADE4","JCYL003B",175.14132930729,"JCYL","003","B"
"ADE4","JCYL001D",108.719703321955,"JCYL","001","D"
"ADE4","JCYL002D",111.070424217258,"JCYL","002","D"
"ADE4","JCYL003D",108.466935087826,"JCYL","003","D"
"ADE5,7","JCYL001B",219.877122607453,"JCYL","001","B"
"ADE5,7","JCYL002B",235.734180395021,"JCYL","002","B"
"ADE5,7","JCYL003B",198.880616796075,"JCYL","003","B"
"ADE5,7","JCYL001D",196.363327629114,"JCYL","001","D"
"ADE5,7","JCYL002D",194.003620829853,"JCYL","002","D"
"ADE5,7","JCYL003D",204.178999500956,"JCYL","003","D"
"ADE6","JCYL001B",90.5195708085424,"JCYL","001","B"
"ADE6","JCYL002B",93.13974472788,"JCYL","002","B"
"ADE6","JCYL003B",85.8944930819929,"JCYL","003","B"
"ADE6","JCYL001D",78.8106567040008,"JCYL","001","D"
"ADE6","JCYL002D",74.4322556573007,"JCYL","002","D"
"ADE6","JCYL003D",77.9518014083223,"JCYL","003","D"
"ADE8","JCYL001B",244.798203873084,"JCYL","001","B"
"ADE8","JCYL002B",242.187777510261,"JCYL","002","B"
"ADE8","JCYL003B",236.793547657773,"JCYL","003","B"
"ADE8","JCYL001D",139.715479426638,"JCYL","001","D"
"ADE8","JCYL002D",132.482845036313,"JCYL","002","D"
"ADE8","JCYL003D",141.966745241177,"JCYL","003","D"
"ADF1","JCYL001B",0,"JCYL","001","B"
"ADF1","JCYL002B",0,"JCYL","002","B"
"ADF1","JCYL003B",0,"JCYL","003","B"
"ADF1","JCYL001D",0,"JCYL","001","D"
"ADF1","JCYL002D",0,"JCYL","002","D"
"ADF1","JCYL003D",0,"JCYL","003","D"
"ADH1","JCYL001B",1937.18618989839,"JCYL","001","B"
"ADH1","JCYL002B",1950.1168333759,"JCYL","002","B"
"ADH1","JCYL003B",2173.99271450778,"JCYL","003","B"
"ADH1","JCYL001D",2250.09293069409,"JCYL","001","D"
"ADH1","JCYL002D",2065.40726701838,"JCYL","002","D"
"ADH1","JCYL003D",2331.3556598446,"JCYL","003","D"
"ADH2","JCYL001B",40.1912238126773,"JCYL","001","B"
"ADH2","JCYL002B",40.0198857629159,"JCYL","002","B"
"ADH2","JCYL003B",42.2518281820777,"JCYL","003","B"
"ADH2","JCYL001D",26.2586019915922,"JCYL","001","D"
"ADH2","JCYL002D",23.4558849907781,"JCYL","002","D"
"ADH2","JCYL003D",28.5015487988009,"JCYL","003","D"
"ADH3","JCYL001B",347.347649877065,"JCYL","001","B"
"ADH3","JCYL002B",338.794124398823,"JCYL","002","B"
"ADH3","JCYL003B",360.352489389888,"JCYL","003","B"
"ADH3","JCYL001D",253.748463081296,"JCYL","001","D"
"ADH3","JCYL002D",244.605305761708,"JCYL","002","D"
"ADH3","JCYL003D",260.153536782498,"JCYL","003","D"
"ADH4","JCYL001B",1053.84463531332,"JCYL","001","B"
"ADH4","JCYL002B",1053.72257751906,"JCYL","002","B"
"ADH4","JCYL003B",1072.18517902828,"JCYL","003","B"
"ADH4","JCYL001D",2138.77915465948,"JCYL","001","D"
"ADH4","JCYL002D",2329.35171038373,"JCYL","002","D"
"ADH4","JCYL003D",2055.5960330022,"JCYL","003","D"
"ADH5","JCYL001B",326.168865893096,"JCYL","001","B"
"ADH5","JCYL002B",313.428073498875,"JCYL","002","B"
"ADH5","JCYL003B",283.748955890935,"JCYL","003","B"
"ADH5","JCYL001D",125.313900551004,"JCYL","001","D"
"ADH5","JCYL002D",116.959883724285,"JCYL","002","D"
"ADH5","JCYL003D",124.478859658428,"JCYL","003","D"
"ADH6","JCYL001B",97.2869392364019,"JCYL","001","B"
"ADH6","JCYL002B",102.028360282775,"JCYL","002","B"
"ADH6","JCYL003B",115.408583458433,"JCYL","003","B"
"ADH6","JCYL001D",96.9152347921131,"JCYL","001","D"
"ADH6","JCYL002D",85.0025526137919,"JCYL","002","D"
"ADH6","JCYL003D",106.296561621702,"JCYL","003","D"
"ADH7","JCYL001B",20.7595669648078,"JCYL","001","B"
"ADH7","JCYL002B",21.4497487162721,"JCYL","002","B"
"ADH7","JCYL003B",20.917714848093,"JCYL","003","B"
"ADH7","JCYL001D",13.7560739560159,"JCYL","001","D"
"ADH7","JCYL002D",14.7054174248023,"JCYL","002","D"
"ADH7","JCYL003D",13.8674081856302,"JCYL","003","D"
"ADI1","JCYL001B",45.1833308374022,"JCYL","001","B"
"ADI1","JCYL002B",48.5356792322931,"JCYL","002","B"
"ADI1","JCYL003B",47.4043909666597,"JCYL","003","B"
"ADI1","JCYL001D",32.7517822464613,"JCYL","001","D"
"ADI1","JCYL002D",36.2231106554467,"JCYL","002","D"
"ADI1","JCYL003D",32.135356508813,"JCYL","003","D"
"ADK1","JCYL001B",684.671926383242,"JCYL","001","B"
