"Condition","Mean","SD","SEM","n","Gene"
"B",332.714304266561,3.91501669147428,2.26033594070456,3,"AAT2"
"D",221.210521238709,4.06464120666297,2.34672169482611,3,"AAT2"
"B",59.6691534019388,1.48431351884127,0.85696880966481,3,"ABD1"
"D",49.0961563491835,2.37611834808204,1.37185256789158,3,"ABD1"
"B",55.1202381856196,1.09395438005077,0.631594855803482,3,"ABF1"
"D",52.1493099492654,1.37245387401999,0.792386613615788,3,"ABF1"
"B",248.637029749241,4.98281763148702,2.87683110086184,3,"ABF2"
"D",401.980471902195,11.4739489868311,6.62448753621496,3,"ABF2"
"B",17.4259673836407,1.70693740859734,0.985500772343514,3,"ABM1"
"D",12.4036552999221,1.89903138418651,1.09640628085963,3,"ABM1"
"B",99.0535681771834,1.53287442589911,0.885005462426744,3,"ABP1"
"D",93.931558516809,0.961068805897296,0.554873333794556,3,"ABP1"
"B",72.8684310875451,1.97667900835335,1.14123615757429,3,"ABP140"
"D",66.5593238266387,2.2952093415348,1.32513973118166,3,"ABP140"
"B",32.8481283344879,0.420070199814657,0.242527642941532,3,"ABZ1"
"D",33.5524139817837,0.830077666624578,0.479245564273997,3,"ABZ1"
"B",43.8150552682488,2.96929115789295,1.71432104931187,3,"ABZ2"
"D",56.0630298947071,2.40927578524976,1.390996023166,3,"ABZ2"
"B",71.0453549027224,1.82722866783519,1.05495096324565,3,"ACA1"
"D",77.2048329393272,7.70442609119097,4.44815247770069,3,"ACA1"
"B",730.253753237669,25.9418301827429,14.9775226392781,3,"ACB1"
"D",889.63580685213,105.564516404487,60.9477019630035,3,"ACB1"
"B",64.2526975669025,0.386601000509691,0.223204191713249,3,"ACC1"
"D",114.11811755944,5.0613793179853,2.92218871170962,3,"ACC1"
"B",33.3641824625367,0.322282484590154,0.186069879233227,3,"ACE2"
"D",23.1290446289662,0.645135204757749,0.372468984130591,3,"ACE2"
"B",20.1482400928703,0.757557869459361,0.437376239859081,3,"ACF2"
"D",18.3309664930128,1.42818103776664,0.824560706606089,3,"ACF2"
"B",40.621126841371,0.82612817914914,0.476965326616891,3,"ACF4"
"D",33.9794294791461,2.05688737195003,1.18754447788809,3,"ACF4"
"B",67.2109921761079,1.74852325509194,1.00951037201165,3,"ACH1"
"D",178.765569228587,7.4822336400723,4.31986960623541,3,"ACH1"
"B",30.3934350216534,0.9750770231069,0.562960981771388,3,"ACK1"
"D",29.8869957066486,0.831867653279868,0.480279013551274,3,"ACK1"
"B",44.9043244886571,1.52776988313131,0.882058353285667,3,"ACM1"
"D",44.7209886019964,1.62734019711525,0.939545300867586,3,"ACM1"
"B",45.4183898294139,2.87862909477561,1.66197728276579,3,"ACN9"
"D",83.2049342837721,5.87214922052529,3.39028693319193,3,"ACN9"
"B",226.170403191082,3.91595582222291,2.26087814809508,3,"ACO1"
"D",441.62154464123,10.7479078153046,6.2053074703914,3,"ACO1"
"B",65.4835299400875,1.64714218232373,0.950977982358193,3,"ACO2"
"D",38.0747582160647,2.03737328247801,1.17627801307843,3,"ACO2"
"B",364.764571527658,10.4500500908821,6.03333923301584,3,"ACP1"
"D",512.213251237777,11.5689093886673,6.67931294977745,3,"ACP1"
"B",16.8324432296612,0.571570833022928,0.329996574306726,3,"ACS1"
"D",50.6623904921293,4.00052559382672,2.30970452849584,3,"ACS1"
"B",128.946209857645,4.34708297397134,2.50978952521199,3,"ACS2"
"D",119.28693086597,3.97533061279611,2.29515819941559,3,"ACS2"
"B",784.43744727984,7.25770016485625,4.19023514387735,3,"ACT1"
"D",753.608428649974,9.46433412563616,5.4642358551366,3,"ACT1"
"B",19.8830720643454,0.923240283772102,0.53303302636253,3,"ADA2"
"D",15.1409405959948,0.559663277597635,0.323121743976543,3,"ADA2"
"B",135.743559898002,5.48871757695367,3.16891257056003,3,"ADD37"
"D",127.041276771905,10.5965062627549,6.11789574327108,3,"ADD37"
"B",68.0717688420403,1.73926685125755,1.00416618476614,3,"ADD66"
"D",47.1196847042724,0.9244008307466,0.533703068470664,3,"ADD66"
"B",342.748302513005,32.3822678335434,18.6959110506669,3,"ADE1"
"D",277.051545103919,1.624846003921,0.938105277755476,3,"ADE1"
"B",371.819594980226,12.0283541862486,6.94457352733879,3,"ADE12"
"D",204.548638970776,4.95330095200967,2.85978963802001,3,"ADE12"
"B",348.538454993109,29.8990163001902,17.2622051094198,3,"ADE13"
"D",306.781438868643,3.88636706895529,2.24379507343103,3,"ADE13"
"B",206.392441991096,1.90725771943591,1.10115575773032,3,"ADE16"
"D",190.273307523512,2.34927059401624,1.35635200985455,3,"ADE16"
"B",474.33168269093,42.4353904295765,24.5000840876829,3,"ADE17"
"D",224.421595531451,2.39882617972026,1.38496294060061,3,"ADE17"
"B",192.99201997996,11.2914607886501,6.51912792587123,3,"ADE2"
"D",131.192884257421,3.50592087463907,2.0241443607304,3,"ADE2"
"B",530.44803541685,7.44507918986772,4.29841847440821,3,"ADE3"
"D",195.597916576176,9.21707164494409,5.32147879534854,3,"ADE3"
"B",191.412636019753,15.1042575552852,8.72044716545336,3,"ADE4"
"D",109.41902087568,1.43573071725802,0.828919516092732,3,"ADE4"
"B",218.163973266183,18.4864125233781,10.6731352467228,3,"ADE5,7"
"D",198.181982653308,5.32590014437495,3.07490988203195,3,"ADE5,7"
"B",89.8512695394718,3.66856753961795,2.11804845653874,3,"ADE6"
"D",77.0649045898746,2.32002982876635,1.33946984616621,3,"ADE6"
"B",241.259843013706,4.08220860610428,2.35686423762251,3,"ADE8"
"D",138.055023234709,4.95519190828575,2.86088138213503,3,"ADE8"
"B",0,0,0,3,"ADF1"
"D",0,0,0,3,"ADF1"
"B",2020.43191259402,133.144621740732,76.8710832031626,3,"ADH1"
"D",2215.61861918569,136.284612217212,78.6839575500114,3,"ADH1"
"B",40.820979252557,1.24210936561842,0.717132176602748,3,"ADH2"
"D",26.0720119270571,2.52800172172315,1.4595424745487,3,"ADH2"
"B",348.831421221925,10.8555035960966,6.26742792339531,3,"ADH3"
"D",252.835768541834,7.81419416579451,4.51152710512147,3,"ADH3"
"B",1059.91746395355,10.6243281854568,6.13395873783239,3,"ADH4"
"D",2174.5756326818,140.34451754079,81.0279449814632,3,"ADH4"
"B",307.781965094302,21.766283473184,12.5667696225005,3,"ADH5"
"D",122.250881311239,4.60112105056292,2.65645847711656,3,"ADH5"
"B",104.907960992537,9.39774294781534,5.4257894206961,3,"ADH6"
"D",96.071449675869,10.6720515787282,6.1615118517843,3,"ADH6"
"B",21.0423435097243,0.361575635225314,0.208755790329745,3,"ADH7"
"D",14.1096331888161,0.518958543197978,0.299620854613609,3,"ADH7"
"B",47.041133678785,1.70544036338931,0.98463645288967,3,"ADI1"
"D",33.7034164702403,2.20377840599524,1.27235205593563,3,"ADI1"
"B",669.27546978802,13.493137666536,7.79026666398723,3,"ADK1"
"D",735.456939272312,3.81358858945195,2.20177639869857,3,"ADK1"
"B",32.0773413006454,0.762619327396802,0.440298473961755,3,"ADK2"
"D",31.0737835514629,0.50205614703495,0.289862251638935,3,"ADK2"
"B",279.779971531602,2.94201742264603,1.69857455092526,3,"ADO1"
"D",265.27575621884,11.5943205395466,6.69398408457806,3,"ADO1"
"B",36.2480886918324,0.813545882234812,0.46970093410638,3,"ADP1"
"D",31.9165661033576,0.176120945133998,0.101683475083045,3,"ADP1"
"B",11.2772906431519,0.50121852374769,0.289378649608556,3,"ADR1"
"D",30.7166568954358,1.76125049508827,1.01685844744958,3,"ADR1"
"B",10.6903476851866,0.493094833971245,0.284688435129312,3,"ADY2"
"D",20.4833915321548,2.30754373113112,1.33226099433539,3,"ADY2"
"B",9.34997233405174,0.4299070486275,0.248206950251605,3,"ADY3"
"D",8.46370378808562,0.312564931681728,0.180459447445683,3,"ADY3"
"B",26.2358384558944,0.854545843266916,0.49337227264503,3,"ADY4"
"D",22.6945629746498,0.707313230434177,0.408367483992556,3,"ADY4"
"B",39.6717142640048,1.39744769050351,0.806816800290624,3,"AEP1"
"D",37.0185264629796,0.434411992304275,0.250807880696075,3,"AEP1"
"B",19.6567353118505,0.636418765509492,0.367436545584234,3,"AEP2"
"D",24.0096372918793,1.36218150178906,0.78645585674304,3,"AEP2"
