"Gene","Mean_B","SD_B","Mean_D","SD_D","F_statistic","P_value","Significance"
"ADO1",279.779971531602,2.94201742264603,265.27575621884,11.5943205395466,4.41082128756705,0.103630409585792,"ns"
"ADP1",36.2480886918324,0.813545882234812,31.9165661033576,0.176120945133998,81.2357553856315,0.000839133205318399,"***"
"ADR1",11.2772906431519,0.50121852374769,30.7166568954358,1.76125049508827,338.082726492223,5.14741986315364e-05,"***"
"ADY2",10.6903476851866,0.493094833971245,20.4833915321548,2.30754373113112,51.6731789482992,0.00198412359400029,"**"
"ADY3",9.34997233405174,0.4299070486275,8.46370378808562,0.312564931681728,8.34079571351146,0.0446505746518319,"*"
"ADY4",26.2358384558944,0.854545843266916,22.6945629746498,0.707313230434177,30.5734698830974,0.00522679607198437,"**"
"AEP1",39.6717142640048,1.39744769050351,37.0185264629796,0.434411992304275,9.86107331847722,0.0348398650141708,"*"
"AEP2",19.6567353118505,0.636418765509492,24.0096372918793,1.36218150178906,25.1455761667036,0.00741388140447068,"**"
"AEP3",20.7655662827561,0.29392918961507,21.2739912302739,0.195104001029542,6.23082241149651,0.0670410661399767,"ns"
"AFG1",51.8804287069124,2.47934661925692,47.0922130307181,1.54042840289097,8.07281546085666,0.0468074006820422,"*"
"AFG2",21.5154141769659,0.330402435981435,22.2336782534154,0.494081796241199,4.38094004526252,0.104467736464117,"ns"
"AFG3",51.7852798771678,0.74342549423817,61.724977405307,2.04902656739886,62.3828298379506,0.00138988293042122,"**"
"AFI1",12.3518032381206,0.120270520305635,11.8071102492037,0.396811272975745,5.17711548001845,0.0852248272960922,"ns"
"AFR1",28.9361278233535,0.13164708096194,35.2629268394877,0.98744046583906,121.008497281319,0.000388118280723259,"***"
"AFT1",46.0801899114056,2.25284503043847,32.2248364457055,0.891656826256404,98.1050908731783,0.000583200135799834,"***"
"AFT2",55.5818274518518,3.70874273906148,36.3288851038502,1.09481487070866,74.3662270363261,0.000994114217254306,"***"
"AGA1",35.3919249690217,1.64234115612335,8.8498670881549,0.691166731818697,665.652038636903,1.34066301303818e-05,"***"
"AGA2",12.9897405601195,0.5985193579949,15.1723035647681,0.94013043124195,11.5055804691177,0.0274795565033143,"*"
"AGC1",17.2800544291119,0.779366208753273,28.7830521385295,0.0552788282724326,650.250685570553,1.40459170568477e-05,"***"
"AGE1",30.7147566348514,1.05724137318537,27.3730639697546,1.41157487562104,10.7708895677778,0.0304462086239323,"*"
"AGE2",81.1672481573735,2.45818383135898,64.8535278631359,2.80461181415246,57.4045754967047,0.0016271686494283,"**"
"AGP1",131.154785287884,3.70585172412802,120.590457727855,10.6431384042459,2.63613697052121,0.179779733919798,"ns"
"AGP2",31.4228665602838,0.648979888347378,28.0253727296721,1.34888844356478,15.4546706191835,0.0170851312940627,"*"
"AGP3",10.2359397249933,0.326297171188597,10.8965863844589,1.00009614669942,1.18316328976198,0.337866218686085,"ns"
"AGX1",35.2925938443124,0.742441616643929,55.0480759339529,2.10663694405044,234.67722029576,0.000105918464401436,"***"
