"gene","JCYL001B","JCYL002B","JCYL003B","JCYL001D","JCYL002D","JCYL003D"
"PAA1","195.04904966049534","192.63581678618655","196.71402958021054","240.32568418671676","226.0952418939915","237.46450384469986"
"PAB1","247.10914675391876","267.86603399018003","255.15452971748513","339.91905168703624","344.9430923688044","334.18070319038765"
"PAC1","25.60449064274091","27.39818441792602","27.78717920136045","16.29070566036519","16.38284593520938","15.629468847468157"
"PAC10","80.03122355263645","81.93938210337826","86.55417301529263","45.29919528148161","47.15387312195818","47.875942741611986"
"PAC11","15.263883233444028","16.057091243556275","16.610513903946956","14.754997267754888","13.160304519674252","15.919381063454932"
"PAC2","16.015684990365358","14.77388769294463","14.412798804165263","13.401762498040105","15.73594427903341","14.488773454840558"
"PAD1","7.5932176150308734","6.330813204363226","6.055650742247943","5.321462248138326","6.0677207167442155","5.865977775418252"
"PAF1","98.18611545487704","100.06599597516373","98.91263941503335","110.39184678445213","107.14301097252202","114.03831350452901"
"PAH1","19.927615399367774","20.377983082332705","21.089084388939515","25.091144711848496","25.139708958680842","25.290435140212608"
"PAI3","214.44990196338352","192.67982100840226","196.3808042336602","1543.0314848682297","1548.9698687866376","1579.622431122648"
"PAL1","97.57808051286193","99.59035571853288","102.883992198107","101.28064760629132","103.53745866819405","106.72151896576808"
"PAM1","42.14447357008916","42.325389651150715","39.86727828459171","40.352164848850336","41.09729343913817","39.96203114072998"
"PAM16","113.9933637470494","115.51401693098123","108.59295693536124","128.4548102603716","130.5946861692405","128.0134880354645"
"PAM17","110.37978298284067","107.18006173042403","112.04674228483196","141.04278780151833","138.87701749091306","135.27107049894838"
"PAM18","62.7523360273385","62.95363804981585","66.33221868884682","79.27216598421181","80.84411371163225","81.96145767220298"
"PAN1","39.874285768023924","40.50575284325632","40.785942416886606","44.81739741287562","40.13356928418051","45.131933725204064"
"PAN2","18.628412475772773","19.52367975337092","19.906730917813046","18.89193732903245","19.48336987791187","19.21457376506217"
"PAN3","29.347504209367326","28.54113852909174","29.1238952884987","24.40241381193706","25.329894818274933","24.668611908235885"
"PAN5","81.9098465070573","82.31012925560387","83.41858096484115","41.99771417707352","43.034365638420816","41.56152640204663"
"PAN6","121.58470267685765","123.41055094940148","121.1765015059663","83.97088304008345","86.5092507709873","86.66550236345671"
"PAP1","37.213464649186236","37.72329618498159","37.71478438987899","37.51924524117779","41.4946343192702","37.413929693822055"
"PAP2","33.51620169538235","35.08603317997093","34.91897836659703","27.939583681219336","30.883546733007098","29.39855416877676"
"PAR32","89.50995903926957","89.61162528397982","88.65595436328196","119.5540147655549","118.80654134788885","109.95735705036545"
"PAT1","69.30754678801928","70.02645305748662","69.26292999998678","96.22002646172847","91.70752438727173","93.37771969949728"
"PAU1","0.0","0.0","0.0","0.0","0.0","0.0"
"PAU10","0.518176328458939","1.3383102293695206","2.449160398336849","0.5974045447707264","1.3451622990699987","1.2804820332614402"
