"gene","JCYL001B","JCYL002B","JCYL003B","Mean_B","JCYL001D","JCYL002D","JCYL003D","Mean_D"
"RPC34",34.2508500737352,34.1694169285348,33.6452812171005,34.0218494064568,27.6818312750925,28.391981836993,27.2522548290709,27.7753559803854
"RPC37",82.0060469013076,94.2716602294136,104.716752013696,93.6648197148056,97.5164993779734,92.46222327299,100.773785195292,96.9175026154185
"RPC40",114.735519149728,126.07838296539,120.467574391963,120.427158835694,125.424728576671,134.867827825857,137.815181660404,132.70257935431
"RPC53",24.8806887871157,25.1899725394663,25.3660902102141,25.1455838455987,28.0257583603553,27.5009088301733,26.543413772857,27.3566936544618
"RPC82",29.0727999543617,31.7566714877318,31.9984514459413,30.9426409626782,43.3347832073943,43.0335963021025,48.1609819520848,44.8431204871939
"RPD3",84.3076979961576,82.9639788468614,82.363477822919,83.2117182219793,71.5456944137529,73.1977594884826,73.1137538475693,72.619069249935
"RPE1",106.472691480797,111.525479139167,106.336530253977,108.11156695798,176.396537013336,165.56885297288,176.115391506383,172.693593830867
"RPF1",62.548034257664,76.044053201912,76.6763530532902,71.7561468376221,98.7419563622002,98.2345401779304,101.721896477885,99.5661310060052
"RPF2",56.0789089880034,62.2630408203765,64.542047122948,60.9613323104427,75.9875492850015,75.7903200153419,87.3642580366923,79.7140424456786
"RPG1",88.9485913294247,95.9950511627056,91.8854792903566,92.2763739274956,113.435257504008,113.305222072594,114.627601616429,113.789360397677
"RPH1",47.9657223433219,48.1235032835216,51.5048481691868,49.1980245986767,57.7844189077871,60.0171328057125,57.7892091797444,58.5302536310813
"RPI1",109.965326589408,106.210661526699,97.2299290591262,104.468639058411,47.3244617650022,54.1375461791368,52.1777597935901,51.2132559125764
"RPL10",963.850985570931,1040.69113384334,961.360128181279,988.634082531849,1262.21832868533,1273.2214225147,1277.24083714782,1270.89352944928
"RPL11A",285.243590284654,328.173934082023,324.96135795588,312.792960774186,376.988439758956,376.629166145392,425.800031977795,393.139212627381
"RPL11B",375.837732542655,439.400514870572,464.639267790645,426.625838401291,435.230262263718,446.1665964433,507.607468118802,463.001442275273
"RPL12A",115.848084200828,136.084382630378,128.167300762321,126.699922531176,133.346772404259,150.767811559903,147.658091428296,143.924225130819
"RPL12B",214.321653677545,251.48784116209,261.197818028112,242.335770955916,340.479403994474,363.999869454685,400.724023935199,368.401099128119
"RPL13A",294.74721044202,352.524436203223,355.967544813338,334.413063819527,351.641807490412,369.234136552678,409.550965827603,376.808969956898
"RPL13B",651.90682317772,735.497637043057,739.065883589636,708.823447936805,814.864171289488,814.855161168901,939.27880998407,856.332714147486
"RPL14A",275.668262656442,290.768669875806,274.443577687939,280.293503406729,355.132445973866,310.633169466119,348.354587248515,338.040067562833
"RPL14B",191.329138643145,215.811391817416,215.76320745861,207.63457930639,230.723743621383,216.992106240401,227.749833837438,225.15522789974
"RPL15A",1574.03733112246,1807.35858722192,1820.21230031584,1733.86940622007,1874.26302013105,1872.05021304687,2182.5393593766,1976.28419751818
"RPL15B",103.639598873629,106.04802899237,113.006197037273,107.56460830109,105.118267549053,104.617730140583,111.555594737737,107.097197475791
"RPL16A",480.08770673735,530.702786228247,502.494836745853,504.42844323715,553.190567288139,553.001733379173,581.001313791702,562.397871486338
"RPL16B",558.513899918105,606.886712761306,575.297313694215,580.232642124542,637.650535264377,651.845739730203,662.887186066389,650.794487020323
"RPL17A",539.170594477477,641.422715395191,598.215740255598,592.936350042756,655.918735640995,691.424449902337,738.557349210574,695.300178251302
"RPL17B",355.76531675577,424.384389508796,396.779674343308,392.309793535958,447.697614892742,467.970294400172,491.360604115279,469.009504469398
"RPL18A",601.615054872458,698.467494314188,691.084244612109,663.722264599585,827.00959301831,847.219576783938,951.979194842232,875.402788214827
"RPL18B",99.5287686079885,110.713027775423,106.079084339091,105.440293574168,80.9486166243613,88.5992690186991,91.6211329724726,87.056339538511
"RPL19A",547.786748354102,618.184400443445,633.847875643935,599.939674813828,691.867010112639,691.331500073107,768.183068472322,717.127192886023
"RPL19B",715.662498909098,802.59937438247,796.271655471377,771.511176254315,919.536889810485,902.040059211357,1003.65604524846,941.744331423435
"RPL1A",110.730478262659,129.808418451657,136.220891209363,125.58659597456,161.888105981871,162.545042075506,213.881224365504,179.438124140961
"RPL1B",239.498314579978,301.883497904168,352.224286492482,297.868699658876,363.566643110857,393.033121192571,519.303991813453,425.30125203896
"RPL20A",376.573721303018,444.517928710378,449.35504895032,423.482232987905,444.650521914056,454.927740504489,527.350326529629,475.642862982725
"RPL20B",526.39006951667,606.101584163893,618.552282334508,583.681312005024,715.822136852592,733.124756878015,871.523984991054,773.49029290722
"RPL21A",450.114798342526,543.17195215196,551.328413558576,514.871721351021,532.586723232701,559.722604975199,652.235208038948,581.514845415616
"RPL21B",427.292802455721,508.027966644264,517.705385973709,484.342051691231,551.606833900314,564.613668777591,658.350772041842,591.523758239916
"RPL22A",89.724706949542,106.81310967066,106.466160259942,101.001325626715,109.051254246035,117.822068827408,103.387984968491,110.087102680645
"RPL22B",251.73199145726,287.928426801654,318.34128107108,286.000566443332,302.239080451143,313.207452102947,323.888465881062,313.111666145051
"RPL23A",232.09291928593,279.550483066661,275.576635615974,262.406679322855,313.580335389063,317.300306777995,360.5100919266,330.46357803122
"RPL23B",386.215763030374,444.334647575397,482.263300870031,437.604570491934,473.656749796812,492.935059778922,598.394574409265,521.662127995
"RPL24A",845.005608184574,966.007765600028,919.243415617414,910.085596467339,1248.68315052938,1296.9616644712,1456.94996831028,1334.19826110362
"RPL24B",695.434390591259,798.674376587859,814.172052498314,769.426939892477,755.141045182636,768.283461851715,906.38920724411,809.937904759487
"RPL25",951.391496663543,1014.63275639172,958.577456339561,974.867236464941,1367.1734110092,1315.81427622435,1373.05131482756,1352.01300068704
"RPL26A",317.797355176601,353.305928669516,357.071609978313,342.724964608143,363.024505801873,353.975931127177,408.246640991022,375.082359306691
"RPL26B",486.23974658249,564.291746715984,561.292359347018,537.274617548497,791.395423039154,796.809465691272,902.169342267017,830.124743665814
"RPL27A",563.160568091483,604.084529956864,582.320206531895,583.18843486008,666.984145567126,674.462618371607,686.032476897964,675.826413612232
"RPL27B",523.936605585166,569.24924601687,558.723758801798,550.636536801278,671.274305562863,634.43885606481,696.267501327809,667.326887651827
"RPL28",232.696836059612,272.097200403545,257.854696989906,254.216244484354,214.776776618533,226.258488904783,200.081646822655,213.705637448657
"RPL29",1730.20309825603,1874.26890321775,1727.50684158621,1777.32628102,2737.76342168103,2498.59676935236,2657.02013762689,2631.1267762201
"RPL2A",429.93830224136,507.753140088284,516.794513117935,484.82865181586,483.650072801653,486.089285175195,560.360279122427,510.033212366425
"RPL2B",551.423551056019,643.808437951818,658.896059750367,618.042682919401,623.189687255192,660.509667817569,726.414709653693,670.038021575485
"RPL3",1913.23006200908,2143.64254899643,2058.05699550901,2038.30986883818,2003.92716715065,1996.21106288865,2082.16345246816,2027.43389416916
"RPL30",1240.19155340881,1393.45825739875,1226.88464766052,1286.84481948936,1875.69728559629,1768.62404026185,1904.2711924108,1849.53083942298
"RPL31A",757.392949541504,816.03413615483,748.900164561395,774.109083419243,1070.33101815012,1002.6758472261,1056.50474789118,1043.1705377558
"RPL31B",352.941392107686,386.254925218044,311.358819612589,350.185045646106,431.135303799796,425.984169271778,417.503853918768,424.874442330114
"RPL32",1880.15957936274,2071.66234901867,1921.38921883223,1957.73704907121,2661.09167451972,2572.00286594309,2695.05953359898,2642.71802468726
"RPL33A",45.3549460476935,49.5820294924351,43.0060867752798,45.9810207718028,66.1840735009994,55.9239133078129,44.9667886130387,55.6915918072837
"RPL33B",263.311949353018,276.441659778737,281.386289935634,273.71329968913,367.687170241093,342.07913348241,362.275300968058,357.347201563854
"RPL34A",276.459344085409,311.158180734885,319.786276610555,302.467933810283,414.673136026,403.59255709071,461.20042734882,426.488706821843
"RPL34B",373.117697261371,426.935895389217,414.08537968913,404.712990779906,547.262722663154,511.293017234835,602.70639042375,553.75404344058
"RPL35A",138.100059172814,181.352632678747,191.155851610077,170.202847820546,186.301376777382,205.939085195318,241.478819600455,211.239760524385
"RPL35B",111.438272512918,142.895460853764,154.201764664844,136.178499343842,171.145771179966,196.050605096213,217.639929837728,194.945435371302
"RPL36A",210.268454931031,231.075247443466,228.484702764929,223.276135046475,260.676095284733,258.133566875106,265.90329424541,261.570985468416
"RPL36B",54.6860063271415,76.328210956001,48.2234359188878,59.7458844006768,86.8054937700158,70.1355073542397,58.4240637874776,71.7883549705777
"RPL37A",365.121325765276,414.216101961871,407.30357678568,395.547001504276,531.829057511583,489.30335509242,580.053451871139,533.728621491714
"RPL37B",583.751023746343,663.133432690067,651.175155567941,632.686537334784,911.324544409088,881.617465003059,956.555214024038,916.499074478728
"RPL38",1943.79278840345,2150.25796333726,1988.6776200994,2027.5761239467,3102.39910228569,3066.47124007398,3285.73850885997,3151.53628373988
"RPL39",54.8329984177749,63.1010803940664,61.5397127090437,59.8245971736283,74.3309398903168,73.3447772687622,63.9192060869155,70.5316410819982
"RPL40A",526.851161021557,608.67840771141,619.893308140736,585.140958957901,725.970465754483,743.653754240781,886.224578576958,785.282932857407
"RPL40B",415.986661969951,508.32744963748,527.661232867258,483.991781491563,480.246787794656,532.957495060755,622.995722047132,545.400001634181
"RPL41A",1693.2265669201,1851.0477623232,1914.47360256784,1819.58264393705,2588.70196712231,2380.70901783256,3324.81756538504,2764.7428501133
"RPL41B",3244.17387196064,3359.22816490248,3233.10610854508,3278.8360484694,4384.42088536599,4322.46905666181,5197.58492148792,4634.82495450524
"RPL42A",225.001474949991,295.391416106561,314.663934689662,278.352275248738,318.011898115379,345.609060494247,432.711310520659,365.444089710095
"RPL42B",226.712052584457,306.944349021751,317.027621043473,283.561340883227,294.835606749131,313.127802089697,395.39772806759,334.453712302139
"RPL43A",50.9054514750583,64.9285524908395,69.2248784446489,61.6862941368489,78.0094708784484,78.7991990810996,72.3802795769039,76.3963165121506
"RPL43B",379.97931630853,460.770911440549,428.087505133623,422.945910960901,654.92288438873,647.619376385544,704.941416205222,669.161225659832
"RPL4A",214.8951259309,265.074646097123,299.839165548112,259.936312525378,184.487373862901,205.968086145836,272.970314335044,221.14192478126
"RPL4B",105.041744297605,132.671154071498,153.846684792079,130.519861053727,121.870527133228,133.72495796637,170.674027455603,142.0898375184
"RPL5",1473.82513367609,1646.36274742423,1613.38767152782,1577.85851754271,1704.32589225123,1739.03702549806,1814.51150538335,1752.62480771088
"RPL6A",288.964214369804,336.238773818952,340.691566894388,321.964851694381,438.453256474869,425.716265146098,471.955898808231,445.375140143066
"RPL6B",173.296852563269,205.870507422957,206.95806867651,195.375142887579,187.732800349775,195.192000048156,201.606088486262,194.843629628064
"RPL7A",135.261125020729,155.972568493467,151.697330326565,147.643674613587,158.533265612759,161.122820325099,181.786844613741,167.147643517199
"RPL7B",31.5835559713894,34.986846358007,33.2262838779506,33.2655620691157,29.8278581218859,33.6122219035451,33.9246005918542,32.4548935390951
"RPL8A",405.228002607027,483.758790312889,504.742612863953,464.576468594623,359.585879700808,370.681654832988,427.919158802667,386.062231112154
"RPL8B",410.664965573115,479.663144416394,496.273243355522,462.20045111501,498.126137367563,503.754506196147,578.396225634374,526.758956399361
"RPL9A",390.191401903942,498.331315009275,493.115661271821,460.546126061679,515.204721748234,524.247745485561,635.677520939958,558.376662724584
"RPL9B",421.027905569474,493.776878009952,490.773827586342,468.526203721923,516.961671919834,542.19972763859,612.436772036263,557.199390531562
"RPM2",19.0458260102071,18.9328623317204,17.6176397685162,18.5321093701479,65.5160272040317,56.2445698533494,66.6118887946308,62.7908286173373
"RPN1",72.5935396306253,71.5595422115875,71.0594670599396,71.7375163007175,103.54845161968,107.273628565147,103.146735353489,104.656271846105
"RPN10",206.37837649411,205.06818191748,209.164765484216,206.870441298602,200.645015879378,207.041745098734,197.023184840743,201.569981939618
"RPN11",169.016869223955,163.781708379569,170.925426946044,167.908001516522,170.655537933505,183.036148979165,173.645320437163,175.779002449944
"RPN12",152.465241878167,145.270898777603,146.594917911486,148.110352855752,144.893170723037,157.92521899858,140.627658820904,147.815349514174
"RPN13",205.327488026361,200.304977272426,203.40188351002,203.011449602935,157.565977172791,162.154804398832,155.793611900779,158.504797824134
"RPN14",43.006687230782,40.0771085660802,41.9757644676843,41.6865200881821,35.6049615089524,36.6941950993986,34.323657870529,35.5409381596267
"RPN2",101.850914314885,100.276784372225,101.96225942218,101.363319369763,107.427075910625,112.554753219926,103.23762315454,107.739817428364
"RPN3",120.834679490465,118.793932657494,118.063520876236,119.230711008065,130.102447603411,140.290400988257,125.251669664189,131.881506085286
"RPN4",140.366370057418,136.321110118421,131.405202261324,136.030894145721,171.98862603538,200.846236418859,166.568408391646,179.801090281962
"RPN5",149.638933576251,145.469670854315,143.293872342279,146.134158924282,149.488208834867,165.018698726864,156.466865563891,156.991257708541
"RPN6",162.421136402291,161.191006545649,158.169943115517,160.594028687819,174.243297412302,177.599440910709,166.146125240516,172.662954521176
"RPN7",107.255441775231,103.751722444529,102.189106275434,104.398756831731,97.3525506379194,110.305884757965,97.4309845513049,101.69647331573
"RPN8",176.340230405533,168.026033642679,166.969162141484,170.445142063232,189.61142484032,190.04741460411,184.859552407366,188.172797283932
"RPN9",107.416374687522,103.881236465103,101.877870418758,104.391827190461,107.735827781362,121.38091486211,109.112235687737,112.74299277707
"RPO21",25.3886336447074,26.3121901742263,26.065883336577,25.9222357185035,40.969449379607,37.9331387593432,44.3191520808642,41.0739134066048
"RPO26",215.660687911969,213.388768821229,213.470037447432,214.173164726877,272.57826947966,259.88134163886,280.54090282034,271.000171312953
"RPO31",16.2465277911762,17.3573615415683,17.2763239219933,16.9600710849126,27.4872423443828,26.7571775061175,28.244518022743,27.4963126244144
"RPO41",16.9468407472479,17.4152567968859,17.8906519640497,17.4175831693945,34.9667242942949,35.521555218776,35.9841970205142,35.490825511195
"RPP0",530.612087337546,572.543012316758,556.391932634488,553.182344096264,669.177494477192,626.281376104164,655.592073440976,650.350314674111
"RPP1",36.376582545081,40.0157034619292,37.712646363553,38.0349774568544,27.0184446213787,26.7692142037015,27.6851249223156,27.1575945824653
"RPP1A",1351.25858153817,1494.12018362011,1424.53524224708,1423.30466913512,2704.1550838725,2549.20383580144,2825.95922495025,2693.10604820806
"RPP1B",620.196369270193,689.696993312293,653.254540791609,654.382634458032,1064.10651568979,1027.06118344832,1058.96111189056,1050.04293700956
"RPP2A",1019.5966747079,1182.81046291041,1165.24232305287,1122.54982022372,1488.20482145333,1464.07642112335,1630.27940803989,1527.52021687219
"RPP2B",1290.94462448522,1491.92232147598,1424.20312980267,1402.35669192129,2430.58793160221,2217.11831476986,2668.0100573287,2438.57210123359
"RPR2",71.841701940618,73.6527497576366,73.2237802897765,72.9060773293437,69.4055902270683,67.4169150464125,69.4551116662154,68.7592056465654
"RPS0A",456.87584928768,504.474552724589,474.750048923763,478.700150312011,597.341556482645,611.301960972428,656.688354799961,621.777290751678
"RPS0B",564.606476853297,642.216354265918,616.260637146897,607.694489422037,592.210295714494,644.138957482307,653.041484698821,629.796912631874
"RPS10A",583.513117984031,634.283270228033,596.811450610462,604.869279607509,907.451964656649,893.918356873622,976.501364974331,925.957228834867
"RPS10B",405.244902155554,421.043520105925,409.065238334986,411.784553532155,584.212134610586,560.535847138668,621.541054014206,588.763011921153
"RPS11A",424.663596218491,491.384392894875,489.220884339356,468.422957817574,591.108687574416,600.52704743024,657.474091619596,616.369942208084
"RPS11B",257.13659789728,310.406679725764,297.982185152449,288.508487591831,322.587706572366,321.102827007675,352.224357451521,331.971630343854
"RPS12",1998.72793199097,2241.28905222247,2092.53484496092,2110.85060972479,3167.25128553356,2905.89399999321,3330.31324105172,3134.48617552616
"RPS13",671.53554167925,749.167504912449,703.256186151794,707.986410914497,937.344141858392,922.836527385818,941.339867823235,933.840179022482
"RPS14A",874.411619901767,981.450641991915,979.357150419725,945.073137437802,1034.49448899155,1027.73977383381,1170.65468079306,1077.62964787281
"RPS14B",96.508120419784,106.818569267358,107.688738176803,103.671809287982,137.47473384264,146.296686559091,151.219806200043,144.997075533924
"RPS15",1335.35178692942,1494.16675027367,1446.58327156197,1425.36726958835,2099.60635571634,1999.84244262507,2185.31660398568,2094.9218007757
"RPS16A",431.342429637256,458.753755237834,437.612283390168,442.569489421753,650.771051850723,624.493543093921,674.330964433854,649.865186459499
"RPS16B",391.995251841008,448.752613476519,437.780969870245,426.176278395924,561.917285834425,544.07803688238,609.208890244083,571.734737653629
