"Gene","Source","Df","Sum_Sq","Mean_Sq","F_value","P_value"
"PEX29","Within_Groups",4,6.72802539594948,1.68200634898737,NA,NA
"PEX3","Between_Groups",1,287.558158917412,287.558158917412,39.5991893469508,0.0032582537759236
"PEX3","Within_Groups",4,29.0468732981327,7.26171832453318,NA,NA
"PEX30","Between_Groups",1,81.1625071358529,81.1625071358529,15.7574035454536,0.0165447796863672
"PEX30","Within_Groups",4,20.6030154401345,5.15075386003363,NA,NA
"PEX31","Between_Groups",1,122.274138007105,122.274138007105,50.8104225348956,0.00204789735780605
"PEX31","Within_Groups",4,9.62590995366195,2.40647748841549,NA,NA
"PEX32","Between_Groups",1,1.38667183216403,1.38667183216403,2.32766265996223,0.201788156895543
"PEX32","Within_Groups",4,2.38294295134078,0.595735737835194,NA,NA
"PEX34","Between_Groups",1,68.5169593341553,68.5169593341553,18.7817121603677,0.0123129536030156
"PEX34","Within_Groups",4,14.5922711942602,3.64806779856506,NA,NA
"PEX4","Between_Groups",1,220.99755206041,220.99755206041,33.9355692734771,0.00432514237460324
"PEX4","Within_Groups",4,26.0490755619219,6.51226889048048,NA,NA
"PEX5","Between_Groups",1,16.4578578078626,16.4578578078626,22.4197599644079,0.00907089717763504
"PEX5","Within_Groups",4,2.93631293715723,0.734078234289307,NA,NA
"PEX6","Between_Groups",1,62.7002491589592,62.7002491589592,116.933850116339,0.000414865782159493
"PEX6","Within_Groups",4,2.14481090279941,0.536202725699853,NA,NA
"PEX7","Between_Groups",1,160.383050740915,160.383050740915,68.2570336851607,0.00117107902874753
"PEX7","Within_Groups",4,9.39877062227406,2.34969265556852,NA,NA
"PEX8","Between_Groups",1,14.3117756532636,14.3117756532636,13.3555978368155,0.0216846014675426
"PEX8","Within_Groups",4,4.28637514490361,1.0715937862259,NA,NA
"PFA3","Between_Groups",1,4.49472319513057,4.49472319513057,37.6140564124126,0.00358217192079771
"PFA3","Within_Groups",4,0.477983352377525,0.119495838094381,NA,NA
"PFA4","Between_Groups",1,10.7884215551162,10.7884215551162,31.4801622995352,0.00495769037677448
"PFA4","Within_Groups",4,1.3708215926543,0.342705398163575,NA,NA
"PFA5","Between_Groups",1,7.56803801910596,7.56803801910596,11.8259787309913,0.0263204152332584
"PFA5","Within_Groups",4,2.55980099110886,0.639950247777214,NA,NA
"PFD1","Between_Groups",1,769.98003751022,769.98003751022,12.5828327015663,0.023857887889277
"PFD1","Within_Groups",4,244.771604541599,61.1929011353999,NA,NA
"PFK1","Between_Groups",1,950.333199888439,950.333199888439,65.9713892815835,0.00124962438591543
"PFK1","Within_Groups",4,57.6209299356825,14.4052324839206,NA,NA
"PFK2","Between_Groups",1,859.47929337546,859.47929337546,37.5374931707701,0.00359561960406345
"PFK2","Within_Groups",4,91.5862217506548,22.8965554376637,NA,NA
"PFK26","Between_Groups",1,881.265253398843,881.265253398843,95.1806966148454,0.000618344875221327
"PFK26","Within_Groups",4,37.035461379945,9.25886534498626,NA,NA
"PFK27","Between_Groups",1,62.7989344721478,62.7989344721478,1.25454099911652,0.325394012642871
"PFK27","Within_Groups",4,200.229197822542,50.0572994556356,NA,NA
"PFS1","Between_Groups",1,450.691378433084,450.691378433084,15.3855309519306,0.0172122587126117
"PFS1","Within_Groups",4,117.172785220397,29.2931963050993,NA,NA
"PFS2","Between_Groups",1,19.0163939219886,19.0163939219886,13.9719702982139,0.0201576638809954
"PFS2","Within_Groups",4,5.44415526689735,1.36103881672434,NA,NA
